<<<<<<< HEAD
Date,USD,KNC,balance total,change,bot_profit,bot profit %,ICP,LCX,balance total (in trades),balance total (available),USDT,SOS,sum value,cancelled bot profit,25 284,bot status,26 736,27 009
1/10/2022,1794.0,723.5,2952,0.46,2.0,0.08,,,,,,,,,,,,
1/11/2022,1710.0,779.6999,2959,0.24,26.0,0.93,,,,,,,,,,,,
1/13/2022,1766.0,738.9,2969,0.7,34.0,1.2,,,,,,,,,,,,
1/14/2022,1878.0,658.6999,3009,2.1,37.0,1.3,,,,,,,,,,,,
1/15/2022,2214.0,406.0999,3059,2.6,44.0,1.6,,,,,,,,,,,,
1/16/2022,2270.0,368.7999,3070,2.9,47.0,1.7,,,,,,,,,,,,
1/17/2022,4737.0,226.4,6099,1.1,59.0,1.0,23.6637,,,,,,,,,,,
1/18/2022,3988.0,560.6999,6023,0.2,66.0,1.1,31.7583,,,,,,,,,,,
1/19/2022,3627.0,389.7,5958,1.3,74.0,1.3,54.0528,,,,,,,,,,,
1/20/2022,3492.0,99.7,5849,3.3,94.0,1.6,77.3956,,,,,,,,,,,
1/21/2022,2662.0,492.1,5788,4.2,134.0,2.3,86.5684,,,,,,,,,,,
1/22/2022,1821.0,626.5,5573,8.0,188.0,3.2,116.0877,,,,,,,,,,,
1/23/2022,1839.0,765.3,5612,7.0,212.0,3.6,105.2762,,,,,,,,,,,
1/24/2022,2590.0,255.0,5665,6.0,252.0,4.1,110.262,,,,,,,,,,,
1/25/2022,2201.0,,5646,9.2,99.0,1.6,113.2873,7397.0,,,,,,,,,,
1/26/2022,1638.0,,5484,11.9,149.0,2.4,120.9935,11762.0,,,,,,,,,,
1/27/2022,1498.0,,5561,10.2,183.0,2.9,117.0123,13843.0,,,,,,,,,,
1/28/2022,1917.0,,5673,8.5,206.0,3.3,107.6933,12379.0,,,,,,,,,,
1/29/2022,1826.0,,5996,8.5,386.0,6.4,107.6933,12379.0,,,,,,,,,,
1/30/2022,1698.0,,6166,6.1,541.0,8.4,125.268,8684.0,,,,,,,,,,
1/31/2022,2362.0,,6030,1.9,575.0,8.9,101.663,7226.0,,,,,,,,,,
2/1/2022,1638.0,,5955,11.2,427.0,15.1,,9180.0,2727.0,3328.0,,,,,,,,
2/2/2022,1184.0,,6109,8.1,434.0,15.3,,13065.0,,,,,,,,,,
2/3/2022,1082.0,,6103,7.8,449.0,15.9,,14151.0,,,,,,,,,,
2/4/2022,1609.0,,6195,13.2,487.0,17.2,,9422.0,,,,,,,,,,
2/5/2022,1696.0,,6147,14.4,505.0,17.9,,8684.0,,,,,,,,,,
2/6/2022,1892.0,,6187,15.8,523.0,18.5,,6987.0,2752.0,435.0,,,,,,,,
2/7/2022,,,6221,7.3,542.0,9.3,,,,,1774.0,343946857.0,6254.0,,,,,
2/8/2022,,,6196,6.7,569.0,9.8,,,,,1488.0,429630058.0,6220.0,,,,,
2/9/2022,1892.0,,6297,8.5,596.0,10.2,,6987.0,,671.0,,,6326.0,357.0,,,,
2/10/2022,1521.0,,6239,5.7,613.0,10.5,,10188.0,,678.0,,,6169.0,357.0,,,,
2/11/2022,1141.0,,5886,0.2,626.0,10.7,,13605.0,,691.0,,,5818.0,357.0,,,,
2/12/2022,965.0,,5776,2.1,654.0,11.2,,15258.0,,718.0,,,5706.0,357.0,,,,
2/13/2022,673.0,,5831,1.1,673.0,11.6,,18125.0,,737.0,,,5765.0,357.0,,,,
2/14/2022,731.0,,6015,2.0,701.0,12.0,,17540.0,,764.0,,,5948.0,357.0,,,,
2/15/2022,1082.0,,6083,3.1,721.0,12.4,,14151.0,,786.0,,,6015.0,357.0,,,,
2/16/2022,965.0,,5865,0.7,733.0,12.6,,15258.0,,821.0,,,5790.0,357.0,,,,
2/17/2022,438.0,,5403,8.5,736.0,12.6,,20523.0,,823.0,,,5336.0,357.0,,,,
2/18/2022,789.0,,5476,6.9,747.0,12.1,,16961.0,,712.0,,,5769.0,357.0,,,,
2/19/2022,380.0,,5293,9.7,761.0,12.3,,21137.0,,718.0,,,5583.0,357.0,,,,
