Date,Finished,Multiple,Phone pickups,Screen time,Created,Drink,Drink,Meditation %,Meditation,Multiple %,Reading,Pick up %,Reading %,Rise time,Rise time %,Run %,Run,Screen Time %,Total,Tot To-do,Work done %
10/31/20,3,3,53,240,10/2/20 0:49,0,,0.0,0,0.096,,0.185,0.0,120.0,-0.057,0.0,,0.202,0.533,7,0.107
10/30/20,0,1,72,568,10/3/20 0:49,0,,0.0,0,0.072,0.0,0.173,-0.03,300.0,-0.3564,0.0,,0.115,-0.0264,0,0.0
10/29/20,2,3,98,175,10/4/20 0:49,0,,0.0,0,0.096,0.0,0.156,-0.03,60.0,-0.0143,0.0,,0.219,0.4977,7,0.071
10/28/20,9,4,102,363,10/5/20 0:49,0,,0.055,10,0.108,100.0,0.154,0.056,30.0,-0.0036,0.0,,0.169,0.7264,12,0.188
10/27/20,11,5,85,264,10/6/20 0:49,0,,0.028,5,0.12,35.0,0.165,0.019,60.0,-0.0143,0.0,,0.196,0.7637,11,0.25
10/26/20,10,4,89,346,10/7/20 0:49,0,,0.055,10,0.108,32.0,0.162,0.018,90.0,-0.0321,0.0,,0.174,0.6929,12,0.208
10/25/20,8,4,64,338,10/8/20 0:49,0,,0.028,5,0.108,30.0,0.178,0.017,0.0,0.0,0.0,,0.176,0.707,10,0.2
10/24/20,5,2,65,499,10/9/20 0:49,0,,0.028,5,0.084,0.0,0.178,-0.03,,0.0,0.0,,0.133,0.507,11,0.114
10/23/20,13,5,76,156,10/10/20 0:49,0,,0.055,10,0.12,20.0,0.171,0.011,10.0,-0.0004,0.0,,0.224,0.8306,13,0.25
10/22/20,7,4,76,206,10/11/20 0:49,0,,0.055,10,0.108,32.0,0.171,0.018,-60.0,0.0143,0.0,,0.211,0.7713,9,0.194
10/21/20,7,3,91,260,10/12/20 0:49,0,,0.055,10,0.096,25.0,0.161,0.014,90.0,-0.0321,0.0,,0.197,0.6849,9,0.194
10/19/20,8,3,120,428,10/13/20 0:49,0,,0.055,10,0.096,10.0,0.142,0.006,45.0,-0.008,0.0,,0.152,0.665,9,0.222
10/18/20,9,4,84,294,10/14/20 0:49,0,,0.0,0,0.108,,0.165,0.0,0.0,0.0,0.0,,0.188,0.649,12,0.188
10/17/20,7,4,59,480,10/15/20 0:49,0,,0.0,0,0.108,,0.182,0.0,0.0,0.0,0.0,,0.138,0.587,11,0.159
10/16/20,10,4,86,213,10/16/20 0:49,0,,0.039,7,0.108,,0.164,0.0,240.0,-0.2281,0.0,,0.209,0.4999,12,0.208
10/15/20,15,3,114,441,10/17/20 0:49,0,,0.017,3,0.096,,0.146,0.0,0.0,0.0,0.0,,0.149,0.666,16,0.258
10/14/20,12,3,131,441,10/18/20 0:49,0,,0.028,5,0.096,,0.135,0.0,90.0,-0.0321,0.0,,0.149,0.6259,12,0.25
10/13/20,14,4,110,332,10/19/20 0:49,0,,0.028,5,0.108,,0.149,0.0,-60.0,0.0143,0.0,,0.178,0.7273,14,0.25
10/12/20,11,4,103,285,10/20/20 0:49,0,,0.055,10,0.108,,0.153,0.0,30.0,-0.0036,0.0,,0.19,0.7144,13,0.212
10/11/20,8,3,53,374,10/21/20 0:49,0,,0.033,6,0.096,,0.185,0.0,0.0,0.0,0.0,,0.166,0.617,16,0.137
10/10/20,7,4,59,477,10/22/20 0:49,0,,0.0,0,0.108,,0.182,0.0,180.0,-0.1283,0.0,,0.139,0.4257,14,0.125
10/9/20,0,1,100,500,10/23/20 0:49,0,,0.0,0,0.072,,0.155,0.0,0.0,0.0,0.0,,0.133,0.36,0,0.0
10/8/20,7,4,101,330,10/24/20 0:49,0,,0.0,0,0.108,,0.154,0.0,120.0,-0.057,0.0,,0.178,0.542,11,0.159
10/7/20,9,5,103,225,10/25/20 0:49,0,,0.044,8,0.12,,0.153,0.0,-15.0,0.0009,0.0131,1.11,0.206,0.698,14,0.161
10/6/20,12,4,83,397,10/26/20 0:49,0,,0.044,8,0.108,,0.166,0.0,0.0,0.0,0.0075,0.64,0.16,0.6915,16,0.206
10/5/20,13,3,74,455,10/27/20 0:49,0,,0.017,3,0.096,,0.172,0.0,0.0,0.0,0.0,,0.145,0.662,14,0.232
10/4/20,16,5,59,304,10/28/20 0:49,0,,0.0,0,0.12,,0.182,0.0,0.0,0.0,0.0,,0.185,0.762,16,0.275
10/3/20,9,3,86,405,10/29/20 0:49,0,,0.039,7,0.096,,0.164,0.0,60.0,-0.0143,0.0,,0.158,0.6157,13,0.173
10/2/20,11,4,74,262,10/30/20 0:49,0,,0.055,10,0.108,,0.172,0.0,36.0,-0.0051,0.0,,0.196,0.7549,12,0.229
10/1/20,7,3,50,496,10/31/20 0:49,0,,0.0,0,0.096,,0.187,0.0,180.0,-0.1283,0.0,,0.134,0.4347,12,0.146
